Código IDA,Nombre de instalación,Provincia,Municipio,Nombre vía,Código postal,Espacio deportivo (texto libre)
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA CARDIOVASCULAR
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA POLIVALENTE 1
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA POLIVALENTE 2
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA POLIVALENTE 3
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA POLIVALENTE 4
33,CENTRO DEPORTIVO SUPERA GUADALQUIVIR (MAR DE PLATA II),Sevilla,Sevilla,MAR DE PLATA,41010,SALA POLIVALENTE 5
34,C.E.I.P. SANTA TERESA,Sevilla,Mairena del Aljarafe,PEDRO MUÑOZ SECA,41927,PISTA POLIDEPORTIVA
34,C.E.I.P. SANTA TERESA,Sevilla,Mairena del Aljarafe,PEDRO MUÑOZ SECA,41927,SALA POLIVALENTE
35,C.E.I.P. LOS ROSALES,Sevilla,Mairena del Aljarafe,GREGORIO ORDÓÑEZ,41927,PABELLON
35,C.E.I.P. LOS ROSALES,Sevilla,Mairena del Aljarafe,GREGORIO ORDÓÑEZ,41927,PISTA POLIDEPORTIVA
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,AULA MAGNA
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,GIMNASIO
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,PISCINA
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,PISTA ESPECIALIZADA
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,PISTA POLIDEPORTIVA 1
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,PISTA POLIDEPORTIVA 2
36,COLEGIO MAYOR MAESE RODRIGO,Sevilla,Mairena del Aljarafe,AVDA. DE LOS OLIVOS,41927,SALA DE JUEGOS
37,I.E.S. JUAN DE MAIRENA,Sevilla,Mairena del Aljarafe,AVDA. DE LAS AMÉRICAS,41927,PISTA POLIDEPORTIVA 1
37,I.E.S. JUAN DE MAIRENA,Sevilla,Mairena del Aljarafe,AVDA. DE LAS AMÉRICAS,41927,PISTA POLIDEPORTIVA 2
37,I.E.S. JUAN DE MAIRENA,Sevilla,Mairena del Aljarafe,AVDA. DE LAS AMÉRICAS,41927,PISTA POLIDEPORTIVA 3
37,I.E.S. JUAN DE MAIRENA,Sevilla,Mairena del Aljarafe,AVDA. DE LAS AMÉRICAS,41927,SALA POLIVALENTE
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISCINA CUBIERTA
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA DE PADEL 6
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA DE PADEL 8
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 1
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 2
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 3
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 4
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 5
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA PADEL 7
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA SQUASH 1
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA SQUASH 2
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA SQUASH 3
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,PISTA SQUASH 4
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,SALA ACTIVIDAD
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,SALA AEROBIC
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,SALA DE MANTENIMIENTO
38,CLUB SATO SPORT,Sevilla,Mairena del Aljarafe,MANOFACTURA,41927,SALA MUSCULACION
39,COMPLEJO HIPICO PEPE RIOS,Sevilla,Mairena del Aljarafe,CARRETERA MAIRENA-SAN JUAN,41927,PISTA CUBIERTA
39,COMPLEJO HIPICO PEPE RIOS,Sevilla,Mairena del Aljarafe,CARRETERA MAIRENA-SAN JUAN,41927,PISTA EXTERIOR 1
